id,obj,verb,atr,subj,ref,synset
occ106,τὸν,ἠμείβετ',βοῶπις,Ἥρη,1.551,reply
occ107,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,1.560,speak
occ108,Δία,ἔχε,νήδυμος,ὕπνος,2.2,
occ109,μιν,προσεφώνεε,θεῖος,ὄνειρος,2.22,speak
occ110,μιν,ἔθηκε,Κρόνου,πάϊς,2.319,
occ111,τὸν,προσέφη,κρείων,Ἀγαμέμνων,2.369,speak
occ112,βοῦν,ἱέρευσε,ἄναξ,Ἀγαμέμνων,2.402,
occ113,τὸν,ἔκτανε,Δάρδανος,ἀνὴρ,2.701,kill
occ114,τόν,τέκετο,κλυτὸς,Ἱπποδάμεια,2.742,
occ115,τὰς,θρέψ',ἀργυρότοξος,Ἀπόλλων,2.766,
occ116,μιν,προσέφη,ὠκέα,Ἶρις,2.795,speak
occ117,τὸν,τέκε,δῖ',Ἀφροδίτη,2.820,
occ118,τὸν,ἐνόησεν,ἀρηΐφιλος,Μενέλαος,3.21,
occ119,τὴν,εἶχε,κρείων,Ἑλικάων,3.123,
occ120,μιν,ξείνισσεν,ἀρηΐφιλος,Μενέλαος,3.232,
occ121,τοὺς,κάτεχεν,φυσίζοος,αἶα,3.243,
occ122,Ἀλέξανδρον,κτείνῃ,ξανθὸς,Μενέλαος,3.284,kill
occ123,ἄρνας,θέτο,ἰσόθεος,φώς,3.310,
occ124,μιν,προσεφώνεε,δῖ',Ἀφροδίτη,3.389,speak
occ125,τὴν,προσεφώνεε,δῖ',Ἀφροδίτη,3.413,speak
occ126,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,4.30,speak
occ127,τὸν,ἠμείβετ',βοῶπις,Ἥρη,4.50,reply
occ128,ἀστέρα,ἧκε,Κρόνου,πάϊς,4.75,
occ129,σάκεα,σχέθον,ἐσθλοὶ,ἑταῖροι,4.113,
occ130,τὸν,προσέφη,ξανθὸς,Μενέλαος,4.183,speak
occ131,τὸν,προσέφη,κρείων,Ἀγαμέμνων,4.188,speak
occ132,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,4.349,speak
occ133,τὸν,προσέφη,κρείων,Ἀγαμέμνων,4.356,speak
occ134,τὸν,νείκεσσεν,κρείων,Ἀγαμέμνων,4.368,
occ135,τὸν,προσέφη,κρατερὸς,Διομήδης,4.401,speak
occ136,τι,προσέφη,κρατερὸς,Διομήδης,4.401,speak
occ137,τὸν,προσέφη,κρατερὸς,Διομήδης,4.411,speak
occ138,τὸν,ἔλαβε,κρείων,Ἐλεφήνωρ,4.463,
occ139,μιν,ἐφίλατο,Παλλὰς,Ἀθήνη,5.61,
occ140,τὸν,ἐνόησε,Λυκάονος,υἱὸς,5.95,
occ141,οἷον,ἔχεσκε,σακέσπαλος,Τυδεύς,5.126,
occ142,τὸν,προσέειπε,Λυκάονος,υἱός,5.179,speak
occ143,κάρη,τάμοι,ἀλλότριος,φὼς,5.214,
occ144,τὸν,προσέειπε,Λυκάονος,υἱός,5.229,speak
occ145,τὸν,προσέφη,κρατερὸς,Διομήδης,5.251,speak
occ146,τούτω,ἀποίσετον,ὠκέες,ἵπποι,5.257,
occ147,τὸν,προσέειπε,Λυκάονος,υἱός,5.276,speak
occ148,τὸν,προσέφη,κρατερὸς,Διομήδης,5.286,speak
occ149,ἃς,ἐπέτελλε,ἀγαθὸς,Διομήδης,5.320,
occ150,τὸν,ἐρύσατο,Φοῖβος,Ἀπόλλων,5.344,
occ151,ἵππους,ἔστησε,ποδήνεμος,Ἶρις,5.368,
occ152,τὴν,ἠμείβετ',φιλομμειδὴς,Ἀφροδίτη,5.375,reply
occ153,τοῦτον,ἀνῆκε,θεὰ,Ἀθήνη,5.405,
occ154,τὸ,οἶδε,Τυδέος,υἱὸς,5.406,
occ155,εἴδωλον,τεῦξ',ἀργυρότοξος,Ἀπόλλων,5.449,
occ156,Ἄρηα,προσηύδα,Φοῖβος,Ἀπόλλων,5.454,speak
occ157,τόν,βάλε,κρείων,Ἀγαμέμνων,5.537,kill
occ158,τὼ,ἐλέησεν,ἀρηΐφιλος,Μενέλαος,5.561,
occ159,τὼ,ἐλέησε,μέγας,Αἴας,5.610,
occ160,τόν,βάλεν,Τελαμώνιος,Αἴας,5.615,kill
occ161,πλέονας,κτάνε,δῖος,Ὀδυσσεὺς,5.679,kill
occ162,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,5.689,speak
occ163,τοὺς,ἐνόησε,θεὰ,Ἥρη,5.711,
occ164,τὴν,προσέφη,νεφεληγερέτα,Ζεύς,5.764,speak
occ165,ἵππους,ἔστησε,θεὰ,Ἥρη,5.775,
occ166,τὴν,προσέφη,κρατερὸς,Διομήδης,5.814,speak
occ167,τὸν,ἠμείβετ',θεὰ,Ἀθήνη,5.825,reply
occ168,μιν,ἴδοι,ὄβριμος,Ἄρης,5.845,
occ169,μ',ὑπήνεικαν,ταχέες,πόδες,5.885,
occ170,τὸν,προσέφη,νεφεληγερέτα,Ζεύς,5.888,speak
occ171,Ἄξυλον,ἔπεφνε,ἀγαθὸς,Διομήδης,6.12,kill
occ172,Ἀστύαλον,ἔπεφνε,μενεπτόλεμος,Πολυποίτης,6.29,kill
occ173,τὸν,προσέειπε,ἀγαθὸς,Διομήδης,6.122,speak
occ174,μιν,ἔθηκε,Κρόνου,πάϊς,6.139,
occ175,τὸν,προσηύδα,φαίδιμος,υἱός,6.144,speak
occ176,πάντας,κατέπεφνεν,ἀμύμων,Βελλεροφόντης,6.190,kill
occ177,τὴν,ἠμείβετ',μέγας,Ἕκτωρ,6.263,reply
occ178,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,6.342,speak
occ179,τὴν,ἠμείβετ',μέγας,Ἕκτωρ,6.359,reply
occ180,πατέρ',ἀπέκτανε,δῖος,Ἀχιλλεύς,6.414,kill
occ181,πάντας,κατέπεφνε,ποδάρκης,Ἀχιλλεὺς,6.423,kill
occ182,τὴν,προσέειπε,μέγας,Ἕκτωρ,6.440,speak
occ183,κόρυθ',εἵλετο,φαίδιμος,Ἕκτωρ,6.472,kill
occ184,κόρυθ',εἵλετο,φαίδιμος,Ἕκτωρ,6.494,kill
