lemma_verb,frequence
αἴρω,5
ἀποτέμνω,1
ἐγγυαλίζω,2
ἀμφιβαίνω,5
δαίνυμι,1
τιμάω,2
τέμνω,1
ὑποδέχομαι,1
εἶπον,13
κέλομαι,1
σώζω,1
ἀμύνω,7
πέμπω,1
πυνθάνομαι,1
ἐλύω,1
ἔχω,10
δαμνάω,2
ἐνέπω,3
ὀρέγω,4
μηχανάομαι,1
ἐρύω,2
ἀμφιφοβέομαι,1
θείνω,1
παρέχω,1
προσάπτω,1
θέλγω,1
ἐπιφέρω,1
δίδωμι,15
ἀπωθέω,1
ὀρίνω,1
ἱκνέομαι,10
νοέω,4
συμπήγνυμι,1
ὀφείλω,1
βάλλω,3
ἀπαυράω,3
ναίω,2
εἶδον,1
προσεῖπον,1
πημαίνω,1
ἄνωγα,1
ἱκάνω,11
ἀνέχω,1
ἀνίημι,3
ἰθύνω,1
βαίνω,2
ἀγορεύω,13
ὄλλυμι,5
νέομαι,1
καλύπτω,13
στυφελίζω,1
ἀμφαγείρομαι,1
κατακτείνω,3
πήγνυμι,1
πελάζω,1
χανδάνω,1
ἐξεναρίζω,6
ἀγκάζομαι,1
σιφλόω,1
λείβω,1
δεύω,2
προερύω,2
ἐάω,1
νικάω,1
χέω,2
ἰαίνω,4
κικλήσκω,1
ἀνάγω,1
ἔδω,1
ὄμνυμι,2
ἀγείρω,1
ἐπιτέλλω,1
οἶδα,2
ἄγνυμι,1
αἱρέω,10
ἀφικνέομαι,1
πελεμίζω,1
δατέομαι,2
νέμω,5
δύω,8
ἐρύκω,3
νωμάω,3
αὐδάω,1
ἐναρίζω,3
εἴβω,1
μέτειμι,1
ὀπάζω,3
βουκολέω,1
πένομαι,1
ἀνατίθημι,1
τελέω,4
πάσχω,2
ταρβέω,1
ὀλέκω,1
δέμω,1
ἕννυμι,2
ὄρνυμι,3
φημί,1
εἰσαναβαίνω,1
ἐπαυρέω,1
ἐλέγχω,1
τεύχω,1
ἀγνοέω,1
φιλέω,1
φέρω,2
μένω,1
εἰλυφάζω,1
καίνυμαι,1
πέσσω,1
βάζω,1
ἀπάλαλκε,1
ἔρδω,3
τείνω,1
ῥύομαι,1
συλάω,3
ἐγείρω,1
ἀείρω,2
κελεύω,2
δάμνημι,1
μενοινάω,1
ἀκέομαι,1
κατερύκω,1
προσαυδάω,6
κτείνω,1
ἱλάσκομαι,3
ἐπιτίθημι,1
φρίσσω,1
δαμάζω,1
ἐφέπω,4
ἐφίημι,3
ὁράω,1
δηλέομαι,2
ἐνίπτω,1
μεταυδάω,3
πορθέω,1
ἰάλλω,4
κλαίω,1
ἄγω,1
δειροτομέω,1
προφέρω,1
ἵκω,4
ἐξιθύνω,1
ἀμύσσω,1
τεκμαίρομαι,1
ἀάω,2
ἀμφινέμομαι,5
δνοπαλίζω,1
ἵημι,4
καταλέγω,2
γηθέω,1
τίθημι,12
προρέω,1
ἐκτελέω,1
ναιετάω,3
καλέω,4
ἀνέλκω,2
κάτειμι,1
ὀφέλλω,1
οὐτάω,2
ἐκδέχομαι,1
καίω,2
ἐλεέω,1
λύω,2
ἀμφικαλύπτω,5
ῥέζω,1
κατέδω,2
ἐλαύνω,2
τελευτάω,2
ὑφαίνω,1
δέχομαι,3
κήδω,1
