id,subj,obj,verb,ref,lemma_verb,synset
occ368,οἵ,σε,τιμήσουσι,9.297,τιμάω,
occ369,ὃ,ἄλλον,ἑλέσθω,9.391,αἱρέω,kill
occ370,οἵ,πτολίεθρα,ῥύονται,9.396,ῥύομαι,
occ371,ὃ,με,ὑπέδεκτο,9.480,ὑποδέχομαι,
occ372,πατὴρ,παῖδα,φιλήσῃ,9.481,φιλέω,
occ373,θεοὶ,γόνον,ἐξετέλειον,9.493,ἐκτελέω,
occ374,σύ,μῦθον,ἐλέγξῃς,9.522,ἐλέγχω,
occ375,ὅς,ἐμὲ,κήδῃ,9.615,κήδω,
occ376,τις,τούσδε,καλέσειεν,10.111,καλέω,
occ377,τίς,ἔργον,τελέσειε,10.303,τελέω,
occ378,ὅς,μῦθον,ἔειπεν,10.318,εἶπον,speak
occ379,ὃ,ἔπος,ηὔδα,10.377,αὐδάω,speak
occ380,ἐγώ,ταῦτα,καταλέξω,10.413,καταλέγω,
occ381,ἐγὼ,ταῦτα,καταλέξω,10.427,καταλέγω,
occ382,ὃ,αὐχένα,ἔλασσε,10.455,ἐλαύνω,
occ383,κτύπος,οὔατα,βάλλει,10.535,βάλλω,kill
occ384,οἳ,κλισίην,ἵκοντο,10.566,ἱκνέομαι,
occ385,ἥ,πόντον,ὀρίνει,11.298,ὀρίνω,
occ386,Ζεὺς,κῦδος,ἔδωκεν,11.300,δίδωμι,
occ387,τοὶ,ἀλλήλους,ἐνάριζον,11.337,ἐναρίζω,kill
occ388,ὃ,πῆχυν,ἄνελκε,11.375,ἀνέλκω,
occ389,ποταμὸς,πεδίον,κάτεισι,11.492,κάτειμι,
occ390,Κεβριόνης,Τρῶας,ἐνόησεν,11.521,νοέω,
occ391,Ζεὺς,Αἴανθ',ὦρσε,11.544,ὄρνυμι,
occ392,οἳ,κλισίην,ἀφίκοντο,11.618,ἀφικνέομαι,
occ393,Ἐπειοὶ,χρεῖος,ὄφειλον,11.688,ὀφείλω,
occ394,Ζεὺς,κράτος,ἐγγυάλιξε,11.753,ἐγγυαλίζω,
occ395,τὼ,πόλλ',ἐπέτελλον,11.782,ἐπιτέλλω,
occ396,ὅσσοι,ἅλα,προρέουσι,12.19,προρέω,
occ397,ἀγηνορίη,μιν,ἔκτα,12.46,κτείνω,kill
occ398,τίς,θυμὸν,ἕληται,12.150,αἱρέω,kill
occ399,σὺ,ταῦτ',ἀγορεύεις,12.231,ἀγορεύω,speak
occ400,ὅς,ἀρὴν,ἀμύναι,12.334,ἀμύνω,
occ401,ἀϋτὴ,οὐρανὸν,ἷκε,12.338,ἵκω,
occ402,Αἴας,ἄνδρα,κατέκτα,12.378,κατακτείνω,
occ403,Ζεὺς,κῆρας,ἄμυνε,12.402,ἀμύνω,
occ404,Ζεὺς,κῦδος,δῶκε,12.437,δίδωμι,
